symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h,news_score_30m_news,news_count_30m_news,news_score_120m_news,news_count_120m_news,news_score_1440m_news,news_count_1440m_news,news_burst_zscore_news,news_pos_neg_ratio_news,news_conflict_score_news,news_risk_level_news,news_event_risk_news,news_gate_pass_news,news_reason_codes_news,timestamp_utc_news,news_latest_headlines_news,news_latest_providers_news,news_last_available_at_utc_news
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,129.0,126.918536532952,-0.0161353757135503,-2.081463467047996,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,129.0,-0.0510673805309164,-0.0161353757135503,0.0187966291038156,yahoo_latest,baseline_momentum_quantile,4.859812404361672,0.179389297046405,-0.0691297568514527,-0.1283195134014725,0.0237626714405329,-0.0157562518629996,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,15.0,16.301369863013697,20.0,16.0,67.30136986301369,67.30136986301369,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.0698640096347321,67.30136986301369,0.1174376416283025,Short,0.2801068029598864,-0.2801068029598864,0.014135375713550299,1.8234634670479886,0.002,0.069864009634732,0.1174376416283025,0.765124716743395,0.6730136986301369,1.0,True,short_signal,model,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,,2026-02-08 01:00:00+00:00,,,
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,273.68,276.1456134797358,0.0090091109315104,2.4656134797357936,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,273.68,-0.0258916074849072,0.0090091109315104,0.0439098293479281,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.021789054462754,0.0219490781387181,0.0713642432778447,0.0516041985620796,-0.0155855036300491,-0.0157421399786172,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4017934395200.0,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,30.0,16.301369863013697,20.0,16.0,82.30136986301369,82.30136986301369,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0698014368328354,82.30136986301369,0.7551256368789623,Long,0.2285262558760938,0.2285262558760938,0.007009110931510401,1.9182534797357664,0.002,0.0698014368328353,0.7551256368789623,0.5102512737579246,0.8230136986301368,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,222.44000244140625,221.43012366687088,-0.0045400052304054,-1.0098787745353943,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,222.44000244140625,-0.0357940883753448,-0.0045400052304054,0.0267140779145339,yahoo_latest,baseline_momentum_quantile,5.404657413294935,0.0897782224528849,-0.0897782224528849,0.0109071497386956,0.0142692598087722,-0.0140973072789107,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,15.0,16.301369863013697,20.0,16.0,67.30136986301369,67.30136986301369,2,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0625081662898788,67.30136986301369,0.3618137357254251,Short,0.10628119003574207,-0.10628119003574207,0.0025400052304054,0.5649987696525619,0.002,0.0625081662898787,0.3618137357254251,0.27637252854914984,0.6730136986301369,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,120.32,118.82352230228236,-0.0124374808653392,-1.4964776977176228,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,120.32,-0.0614695349622952,-0.0124374808653392,0.0365945732316167,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.02818119886588,0.1162790697674418,-0.0163505559596941,-0.1313262257844792,0.0143763858061947,-0.022116148149842,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,74062946641.92,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,12.0,16.301369863013697,20.0,16.0,64.30136986301369,64.30136986301369,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.098064108193912,64.30136986301369,0.1744106227342223,Short,0.19235702182244382,-0.19235702182244382,0.0104374808653392,1.2558376977176124,0.002,0.0980641081939119,0.1744106227342223,0.6511787545315554,0.6430136986301369,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.27999877929688,113.0065185122154,0.0064706068829463,0.7265197329185185,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,112.27999877929688,-0.0482247847753969,0.0064706068829463,0.0611659985412895,yahoo_latest,baseline_momentum_quantile,4.720995740621727,0.1992583240491441,-0.1587622855143825,-0.0991656023016482,-0.0299027906495334,-0.0246706242948253,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,15.0,16.301369863013697,20.0,16.0,67.30136986301369,67.30136986301369,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.1093907833166865,67.30136986301369,0.6918592458430921,Long,0.11166557919312595,0.11166557919312595,0.0044706068829463,0.5019597353599268,0.002,0.10939078331668639,0.6918592458430921,0.3837184916861842,0.6730136986301369,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.85,98.60155755454171,0.0076807108282241,0.7515575545417335,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,97.85,-0.0294577139837723,0.0076807108282241,0.0448191356402206,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.28226864029464,0.6896551724137931,0.0834902128154231,0.0494423071211038,-0.0106382852979076,-0.0167514684081912,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,35128150000.0,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,6.0,16.301369863013697,20.0,16.0,58.3013698630137,58.3013698630137,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0742768496239929,58.3013698630137,0.7231395947283135,Long,0.13756877674649495,0.13756877674649495,0.0056807108282241,0.5558575545417281,0.002,0.0742768496239929,0.7231395947283135,0.4462791894566269,0.583013698630137,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,240.8600006103516,239.0298473828388,-0.007598410789982,-1.830153227512767,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,240.8600006103516,-0.0748439081766359,-0.007598410789982,0.0596470865966719,yahoo_latest,baseline_momentum_quantile,5.484215854366385,0.3827584443214523,-0.0116942514669154,-0.1427249148074452,0.0014510430486858,-0.0303314109515429,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1254.0,0.045662100456621,2026-02-11 01:15:53 UTC,True,True,True,True,True,True,True,True,15.0,16.301369863013697,20.0,16.0,67.30136986301369,67.30136986301369,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.1344909947733078,67.30136986301369,0.2789247741034362,Short,0.11384300424522015,-0.11384300424522015,0.005598410789982,1.3484332262920633,0.002,0.1344909947733078,0.2789247741034362,0.4421504517931276,0.6730136986301369,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,264.67,259.16891575588005,-0.0207846912914949,-5.501084244119966,2026-02-13 20:15 -0500,2026-02-14 01:15 UTC,264.67,-0.0747898290061662,-0.0207846912914949,0.0332204464231762,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.411370253814912,0.106951871657754,-0.2299836713377951,-0.1922172490216724,0.0266979716970862,-0.0243592818728033,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,108647035000.0,1254.0,0.045662100456621,2026-02-11 01:15:52 UTC,True,True,True,True,True,True,True,True,18.0,16.301369863013697,20.0,16.0,70.30136986301369,70.30136986301369,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.1080102754293425,70.30136986301369,0.0692616772352756,Short,0.26376191622558387,-0.26376191622558387,0.018784691291494897,4.971744244119955,0.002,0.1080102754293424,0.0692616772352756,0.8614766455294488,0.7030136986301369,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,325.16,332.58772781876536,0.0228433012017632,7.427727818765334,2026-02-13 20:16 -0500,2026-02-14 01:16 UTC,325.16,-0.0143882650444435,0.0228433012017632,0.06007486744797,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.791430608309103,0.2127659574468085,0.35891008576118,0.1065133732757142,-0.0445565059476875,-0.0167934803082803,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,158882473950.2,1254.0,0.045662100456621,2026-02-11 01:16:06 UTC,True,True,True,True,True,True,True,True,24.0,16.301369863013697,20.0,16.0,76.30136986301369,76.30136986301369,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0744631324924136,76.30136986301369,0.9455977961087308,Long,0.3591094607549873,0.3591094607549873,0.020843301201763198,6.777407818765322,0.002,0.0744631324924135,0.9455977961087308,0.8911955922174617,0.7630136986301369,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,68.62000274658203,69.4924195264123,0.0127137386317537,0.8724167798302744,2026-02-13 20:16 -0500,2026-02-14 01:16 UTC,68.62000274658203,-0.021607818729238,0.0127137386317537,0.0470352959927455,yahoo_latest,baseline_momentum_quantile,4.228584077456272,0.0,0.1581435062714267,0.1032154647089296,-0.0182520161459227,-0.0154809065479498,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1254.0,0.045662100456621,2026-02-11 01:16:06 UTC,True,True,True,True,True,True,True,True,15.0,16.301369863013697,20.0,16.0,67.30136986301369,67.30136986301369,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0686431147219836,67.30136986301369,0.8305059582407468,Long,0.24393586442852427,0.24393586442852427,0.0107137386317537,0.7351767743371009,0.002,0.0686431147219835,0.8305059582407468,0.6610119164814936,0.6730136986301369,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
