branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,4715,-0.00022442808641084808,-1.7693910332631262,0.29553526128868596
hourly,1,0.55,0.45,1279,-0.00024947022419300743,-1.9668232475376706,0.0767376966007103
hourly,1,0.58,0.42,12,-5.200923462001548e-06,-0.041004080574420204,0.0006341958396752917
hourly,2,0.52,0.48,2777,-0.00024275825147426525,-1.9139060546231073,0.17300862506341957
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,1937,-7.333193408157974e-06,-0.05781489682991747,0.12645865043125318
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,276,-0.0006020531205784379,-0.1980754766703061,0.4194528875379939
daily,1,0.55,0.45,192,-0.0010125031035298014,-0.33311352106130465,0.26443768996960487
daily,1,0.58,0.42,102,-0.000903230679459771,-0.29716289354226466,0.1337386018237082
daily,3,0.52,0.48,291,-0.0007284024111746167,-0.23964439327644887,0.425531914893617
daily,3,0.55,0.45,259,-0.0012475205991233568,-0.41043427711158437,0.3617021276595745
daily,3,0.58,0.42,209,-0.0015727176049774457,-0.5174240920375797,0.2857142857142857
daily,7,0.52,0.48,232,-0.0034312222659031466,-1.1288721254821352,0.2735562310030395
daily,7,0.55,0.45,154,-0.0019321786380319,-0.6356867719124951,0.18541033434650456
daily,7,0.58,0.42,97,-0.000736189545726513,-0.24220636054402278,0.11246200607902736
