market,instrument_id,name,status,recommended_action,alerts,predicted_change_pct,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_reason,news_score_30m,news_score_120m,news_score_1440m,news_count_30m,news_burst_zscore,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,factor_support_count,hard_filter_pass
us_equity,us_equity:a,Agilent Technologies,Watch,Monitor/Reduce,predicted_change_non_positive,-0.020286356931702443,Short,0.3137152582599881,-0.3137152582599881,0.01828635693170244,2.3465966974551833,short_signal,0.0,0.0,0.0,0.0,0.0,low,False,True,nan,1,True
us_equity,us_equity:aapl,Apple Inc.,Active,Keep/Open,,0.0065073246696913944,Long,0.17153377091255959,0.17153377091255959,0.004507324669691394,1.2556505064826287,long_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:abbv,AbbVie,Watch,Monitor/Reduce,,0.0062938334362123705,Long,0.1438652877119245,0.1438652877119245,0.00429383343621237,0.9469619971940487,long_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:abnb,Airbnb,Watch,Monitor/Reduce,predicted_change_non_positive,-0.028697171112441633,Short,0.2824333654188754,-0.2824333654188754,0.02669717111244163,3.1549381962127896,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:abt,Abbott Laboratories,Watch,Monitor/Reduce,,0.010565432076830916,Long,0.16876895149677026,0.16876895149677026,0.008565432076830916,0.9638894956418248,long_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:acgl,Arch Capital Group,Watch,Monitor/Reduce,predicted_change_non_positive,-0.004252407745178988,Short,0.08355575577199942,-0.08355575577199942,0.0022524077451789876,0.22027646784752428,short_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:acn,Accenture,Watch,Monitor/Reduce,predicted_change_non_positive,-0.026584562812790757,Short,0.23561908299399906,-0.23561908299399906,0.024584562812790756,5.663545615140796,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:adbe,Adobe Inc.,Watch,Monitor/Reduce,predicted_change_non_positive,-0.04068049974629817,Short,0.3164345640912378,-0.3164345640912378,0.03868049974629817,9.95771445218827,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:adi,Analog Devices,Active,Keep/Open,,0.026720256255439168,Long,0.36372843878046657,0.36372843878046657,0.024720256255439166,8.325535104269358,long_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:adm,Archer Daniels Midland,Active,Keep/Open,,0.015450254870813973,Long,0.2790886056414014,0.2790886056414014,0.013450254870813973,0.9300851448402464,long_signal,,,,,,low,False,True,nan,2,True
